benchmark_scope,benchmark_role,selected_by_validation,candidate_compatible,feature_set,feature_family,model_type,benchmark_status,benchmark_method,benchmark_train_scope,benchmark_group_column,completed_holds,completed_family_holds,completed_formula_holds,requested_folds,actual_folds,bn_family_count,bn_formula_count,non_bn_formula_count,bn_row_count,k_neighbors,mae,rmse,r2,bn_mae,bn_rmse,bn_r2,non_bn_mae,non_bn_rmse,non_bn_r2,bn_to_non_bn_mae_ratio
bn_family,candidate_model,False,False,matminer_composition_plus_structure_summary,structure_aware,torch_mlp,ok,leave_one_bn_family_out,full_dataset_minus_held_out_bn_family,reduced_bn_chemical_system,,5.0,10.0,,,5.0,10.0,,12.0,,1.0990652267666683,1.616640327233701,0.19655620860499,,,,,,,
bn_family,candidate_model,False,False,matminer_composition_plus_structure_summary,structure_aware,torch_mlp_ensemble,ok,leave_one_bn_family_out,full_dataset_minus_held_out_bn_family,reduced_bn_chemical_system,,5.0,10.0,,,5.0,10.0,,12.0,,1.119957675614917,1.6335951460594706,0.1796153014546444,,,,,,,
bn_family,global_dummy_mean_baseline,False,True,matminer_composition,composition_only,dummy_mean,ok,leave_one_bn_family_out,full_dataset_minus_held_out_bn_family,reduced_bn_chemical_system,,5.0,10.0,,,5.0,10.0,,12.0,,1.3254913742008143,1.8931717174659868,-0.1018150456361595,,,,,,,
bn_family,screening_model,False,True,matminer_composition,composition_only,hist_gradient_boosting,ok,leave_one_bn_family_out,full_dataset_minus_held_out_bn_family,reduced_bn_chemical_system,,5.0,10.0,,,5.0,10.0,,12.0,,1.492292003261776,1.9225070489153704,-0.1362255856093728,,,,,,,
bn_stratified,selected_model,True,False,matminer_composition_plus_structure_summary,structure_aware,hist_gradient_boosting,ok,group_kfold_bn_vs_non_bn_formula_stratified_error,group_kfold_bn_vs_non_bn_formula_stratified_error,formula,,,,5.0,5.0,,10.0,4371.0,,,1.790768004095579,2.1442619694480913,-0.4134627539667381,1.790768004095579,2.1442619694480913,-0.4134627539667381,0.5670410006756186,0.8498347403582706,0.6146561903930561,3.158092628155482
bn_stratified,candidate_model,False,True,basic_formula_composition,composition_only,hist_gradient_boosting,ok,group_kfold_bn_vs_non_bn_formula_stratified_error,group_kfold_bn_vs_non_bn_formula_stratified_error,formula,,,,5.0,5.0,,10.0,4371.0,,,2.202848048849842,2.465614445636954,-0.8688696642561977,2.202848048849842,2.465614445636954,-0.8688696642561977,0.9587985416856994,1.241038328728416,0.1782308855161567,2.2975087602625393
bn_stratified,candidate_model,False,True,basic_formula_composition,composition_only,linear_regression,ok,group_kfold_bn_vs_non_bn_formula_stratified_error,group_kfold_bn_vs_non_bn_formula_stratified_error,formula,,,,5.0,5.0,,10.0,4371.0,,,1.4635303222430984,1.7371082644538554,0.0723536163608271,1.4635303222430984,1.7371082644538554,0.0723536163608271,1.042809387954322,1.2980557592525168,0.1009866887116686,1.4034495077898217
bn_stratified,candidate_model,False,True,basic_formula_composition,composition_only,torch_mlp,ok,group_kfold_bn_vs_non_bn_formula_stratified_error,group_kfold_bn_vs_non_bn_formula_stratified_error,formula,,,,5.0,5.0,,10.0,4371.0,,,1.341323994158126,1.9473987795014187,-0.1658387059522719,1.341323994158126,1.9473987795014187,-0.1658387059522719,0.8894408253778298,1.3680785952944725,0.0013770986365523,1.5080531002029716
bn_stratified,candidate_model,False,True,basic_formula_composition,composition_only,torch_mlp_ensemble,ok,group_kfold_bn_vs_non_bn_formula_stratified_error,group_kfold_bn_vs_non_bn_formula_stratified_error,formula,,,,5.0,5.0,,10.0,4371.0,,,1.3512613760861525,1.9088203973398303,-0.1201052096914914,1.3512613760861525,1.9088203973398303,-0.1201052096914914,0.880840428419611,1.3454879098782264,0.0340847457292649,1.5340592149142869
bn_stratified,candidate_model,False,True,fractional_composition_vector,composition_only,hist_gradient_boosting,ok,group_kfold_bn_vs_non_bn_formula_stratified_error,group_kfold_bn_vs_non_bn_formula_stratified_error,formula,,,,5.0,5.0,,10.0,4371.0,,,1.3732405132849874,1.9958262555362167,-0.2245432987847284,1.3732405132849874,1.9958262555362167,-0.2245432987847284,0.7883114924273121,1.0615546965907106,0.3987374179295677,1.742002401939624
bn_stratified,candidate_model,False,True,fractional_composition_vector,composition_only,linear_regression,ok,group_kfold_bn_vs_non_bn_formula_stratified_error,group_kfold_bn_vs_non_bn_formula_stratified_error,formula,,,,5.0,5.0,,10.0,4371.0,,,1.383675888950025,2.019946389349182,-0.2543200637344838,1.383675888950025,2.019946389349182,-0.2543200637344838,0.8390097080444678,1.1014475209715535,0.352697856791073,1.649177447749734
bn_stratified,candidate_model,False,True,fractional_composition_vector,composition_only,torch_mlp,ok,group_kfold_bn_vs_non_bn_formula_stratified_error,group_kfold_bn_vs_non_bn_formula_stratified_error,formula,,,,5.0,5.0,,10.0,4371.0,,,1.3061506401330965,1.9656840510052351,-0.187834980770662,1.3061506401330965,1.9656840510052351,-0.187834980770662,0.6671325112485881,1.030605469787936,0.4332855171408433,1.9578578739754993
bn_stratified,candidate_model,False,True,fractional_composition_vector,composition_only,torch_mlp_ensemble,ok,group_kfold_bn_vs_non_bn_formula_stratified_error,group_kfold_bn_vs_non_bn_formula_stratified_error,formula,,,,5.0,5.0,,10.0,4371.0,,,1.1968749110162786,1.9129707376202791,-0.1249813852910561,1.1968749110162786,1.9129707376202791,-0.1249813852910561,0.641953692935828,1.0063896130039591,0.4596045087415662,1.8644256185249837
bn_stratified,candidate_model,False,True,matminer_composition,composition_only,linear_regression,ok,group_kfold_bn_vs_non_bn_formula_stratified_error,group_kfold_bn_vs_non_bn_formula_stratified_error,formula,,,,5.0,5.0,,10.0,4371.0,,,1.418830737288395,1.7252180038346412,0.0850093710301198,1.418830737288395,1.7252180038346412,0.0850093710301198,0.8571144237991711,1.119087194174738,0.3317987595075752,1.6553574387412695
bn_stratified,candidate_model,False,True,matminer_composition,composition_only,torch_mlp,ok,group_kfold_bn_vs_non_bn_formula_stratified_error,group_kfold_bn_vs_non_bn_formula_stratified_error,formula,,,,5.0,5.0,,10.0,4371.0,,,1.235353096319665,1.8368158726561137,-0.0371938432883078,1.235353096319665,1.8368158726561137,-0.0371938432883078,0.6815189838959469,1.0427910094475197,0.4198050001043099,1.8126466400945869
bn_stratified,candidate_model,False,True,matminer_composition,composition_only,torch_mlp_ensemble,ok,group_kfold_bn_vs_non_bn_formula_stratified_error,group_kfold_bn_vs_non_bn_formula_stratified_error,formula,,,,5.0,5.0,,10.0,4371.0,,,1.212813928634558,1.858879072573132,-0.0622603202438492,1.212813928634558,1.858879072573132,-0.0622603202438492,0.6697271604130912,1.02948851180179,0.4345132483515078,1.8109074863956365
bn_stratified,candidate_model,False,False,matminer_composition_plus_structure_summary,structure_aware,linear_regression,ok,group_kfold_bn_vs_non_bn_formula_stratified_error,group_kfold_bn_vs_non_bn_formula_stratified_error,formula,,,,5.0,5.0,,10.0,4371.0,,,1.268311726546012,1.5899344071248789,0.2228817671700971,1.268311726546012,1.5899344071248789,0.2228817671700971,0.8913824654580509,4.508250305499991,-9.844148768704525,1.4228591830043125
bn_stratified,candidate_model,False,False,matminer_composition_plus_structure_summary,structure_aware,torch_mlp,ok,group_kfold_bn_vs_non_bn_formula_stratified_error,group_kfold_bn_vs_non_bn_formula_stratified_error,formula,,,,5.0,5.0,,10.0,4371.0,,,1.2729213871815632,1.7108009346689803,0.1002380143096408,1.2729213871815632,1.7108009346689803,0.1002380143096408,0.6073036990553898,0.957119187296506,0.5112222019617713,2.096021132691084
bn_stratified,candidate_model,False,False,matminer_composition_plus_structure_summary,structure_aware,torch_mlp_ensemble,ok,group_kfold_bn_vs_non_bn_formula_stratified_error,group_kfold_bn_vs_non_bn_formula_stratified_error,formula,,,,5.0,5.0,,10.0,4371.0,,,1.2452569738384756,1.7058453538224083,0.1054430446931115,1.2452569738384756,1.7058453538224083,0.1054430446931115,0.5868897111355637,0.930632702246288,0.5378999193236265,2.1217904321904832
bn_stratified,dummy_baseline,False,False,feature_agnostic_dummy,feature_agnostic_baseline,dummy_mean,ok,group_kfold_bn_vs_non_bn_formula_stratified_error,group_kfold_bn_vs_non_bn_formula_stratified_error,formula,,,,5.0,5.0,,10.0,4371.0,,,1.3250597270878437,1.8909678691661655,-0.099251284689432,1.3250597270878437,1.8909678691661655,-0.099251284689432,1.1162332147760292,1.3716282043680743,-0.0038116668050278,1.1870814356242887
bn_stratified,screening_model,False,True,matminer_composition,composition_only,hist_gradient_boosting,ok,group_kfold_bn_vs_non_bn_formula_stratified_error,group_kfold_bn_vs_non_bn_formula_stratified_error,formula,,,,5.0,5.0,,10.0,4371.0,,,1.5004198571334937,1.9349444178220216,-0.1509744190002828,1.5004198571334937,1.9349444178220216,-0.1509744190002828,0.5830274445421929,0.8817917405946272,0.5851305279776207,2.5734978193207683
